timestamp,prices,market_caps,total_volumes
1738476219315,100272.9911974196,1988012923311.1807,33268112611.040897
1738479643585,100355.30821794734,1989047190935.6055,34162940923.42494
1738483438356,99593.13977161376,1975566614487.7935,23015348982.818996
1738487034032,99794.68350624843,1977782731372.8877,34844975742.23547
1738490616248,99645.40771022183,1974612397152.8308,35442664401.439514
1738494186477,99342.03532242186,1972482542408.0698,30277774414.931026
1738497828001,98933.28243566968,1958507453981.8325,38247378242.980705
1738501405768,98201.26569873706,1947043865840.095,37287450038.32532
1738505038403,98791.6437249441,1957697763146.0278,41310151090.22821
1738508619736,99259.48949920906,1966823415612.4854,42312437070.84253
1738512098424,99306.8359207168,1968910563155.1064,39546583950.865974
1738515755650,98196.81871091944,1944551549814.6738,43695997575.17394
1738519418840,97157.76217158206,1923804771116.4446,49580332802.86192
1738523025446,96896.82676418213,1922884264795.0588,46951141125.63808
1738526623139,98235.87175043522,1946163482674.5852,57044419317.02325
1738530045736,97793.53821562871,1937072986217.3457,47658398897.50707
1738533735812,96988.74415938454,1921781912853.0679,35209897594.59467
1738537427863,97815.84535257479,1936077131894.8628,61901167209.33174
1738541035006,97652.02866142086,1936888649851.0564,60384282261.70392
1738544605784,96653.10505164102,1917176952320.4697,60807571362.72603
1738548238171,93517.87531879066,1854405898143.0222,73996991110.01198
1738551759228,93529.88153166145,1856974062327.3806,86745524901.59636
1738555437250,94068.23649713039,1864269272699.6116,83478298819.85269
1738559022326,92876.12162304203,1839654517603.3994,98097710393.03694
1738562641126,93885.07988775491,1861048741708.0745,99315354839.13647
1738566261688,93984.49582240354,1860597067537.651,100307372330.12206
1738569790198,95437.74841070815,1890927751785.6184,85311350557.95201
1738573430939,95431.53785259378,1890807210416.958,103867869869.16586
1738577020239,95373.35106292863,1889960386268.8286,107172072534.73138
1738580635347,95770.80181571534,1896073570182.0574,103609670806.10979
1738584226010,95184.99000103062,1885724436619.9724,94169826919.72453
1738587813432,94848.74372319518,1882582025353.0466,107299460403.68948
1738591436837,94721.98536030206,1876967273887.9797,102962964871.67091
1738595103441,96874.2426135226,1920251727565.7903,114257806050.93373
1738598617068,99175.4839366473,1965578354535.2644,111661891455.78627
1738602236331,98664.16766125984,1959916846295.3113,119758900481.58565
1738605831143,99427.091812037,1968907002259.9075,117879665837.13199
1738609737978,100109.60169399311,1983857635197.1255,122455060850.30626
1738613038656,102038.29415299969,2021383503656.402,111582183938.67041
1738616652060,101776.9704902056,2015604553591.8442,121321852108.73674
1738620225958,102011.13759922635,2021122999580.6067,115772211445.63112
1738623843967,101786.57409375272,2017429742855.147,120256344524.31786
1738627316275,101392.3150300614,2009529623603.9858,122749494414.58522
1738631044126,101177.50269250017,2004664144594.5635,106383963793.45781
1738634916302,101468.37868950945,2010746121684.4475,94073526759.69113
1738638232232,100843.17354271388,1998470211478.4229,92102393533.95076
1738641832533,100696.1326357584,1995344523843.5984,87651622834.69707
1738645445375,100163.72562649935,1984541524164.3762,72952755920.01064
1738649034372,99248.39363079518,1969896393260.275,76465079658.76259
1738652643227,99414.93416195072,1970868039212.482,60436000104.01706
1738656177118,98461.65323336356,1952078498775.6504,82145717943.17612
1738659832878,98361.85276813261,1949146553609.0137,80623384073.77437
1738663720006,98707.16429232086,1955809791815.9773,85163200808.70135
1738666922244,98900.15664785431,1958716186987.2158,84356821442.94563
1738670629625,99125.47947716463,1963121121230.6562,84245877835.39243
1738674242382,99369.05940581522,1972651391948.453,77859938569.08894
1738677837983,99132.60917545018,1966843752511.4111,77977195427.76498
1738681435742,100160.09279025279,1984499659364.219,77917819238.94751
1738685050533,99503.28222371545,1972464851382.641,68777861809.85078
1738688494919,99207.7117070122,1966809686192.739,74809681758.29611
1738692246155,99243.8917964687,1967386052776.6208,69080437478.94475
1738695842973,99359.35824162222,1971958628515.774,70334377435.27542
1738699442905,98860.42539595038,1964636531586.007,67598315870.481285
1738703324686,97972.8075370943,1940968625032.7832,69926712222.66504
1738706650694,96386.5143187413,1911889150781.2688,69806752688.80084
1738710115641,97690.61739242118,1936202930229.118,73745720028.94376
1738713836312,97888.30731950274,1939466897604.7148,70848078818.16441
1738717437514,98360.40524167611,1949357736224.9463,67452737653.302284
1738720972157,97742.4722066188,1940199665151.6875,75620359307.37105
1738724614380,98029.77668903438,1946138783681.1057,75573254340.80864
1738728006424,98006.5293424413,1941845305093.8616,71048646341.07883
1738731849895,98094.7373713875,1943556046123.9329,74715359475.47362
1738735418079,98200.71650096471,1947471094770.5242,70695973879.37779
1738739030074,97513.92279729006,1934520528206.3818,69757236486.12773
1738742630441,97904.93450676241,1941946184933.7866,65991866385.41032
1738746238345,97656.24528073946,1935505316905.9082,60966733666.95137
1738749830353,97450.19613346204,1929594637462.4597,65340119612.3701
1738753432815,97759.8831753512,1939220631155.2617,63661409426.48481
1738756863860,98193.32303841642,1947087707314.6372,62522123802.24687
1738760555879,98045.78183003876,1943193879569.8738,63566547078.482956
1738764253296,98611.46674060835,1954284796727.2085,60332904286.854904
1738767795819,98351.26868548083,1945856257737.2688,63497417766.762856
1738771309250,98192.99346867306,1944460505482.3672,54531337458.07715
1738775027273,98044.92329209218,1942901305196.3958,50763815445.45226
1738778644941,97736.3008613856,1934586504889.8875,57480673064.42257
1738782249173,96709.7362968561,1917582987600.7473,55105632143.78032
1738785758875,97377.74729659544,1929917450504.1558,51852905809.584724
1738789440438,97326.90138999239,1930166402859.6177,50337047593.89105
1738793050280,96870.39922901063,1920989629341.9377,50184096669.00326
1738796628268,96439.88149814382,1911456067310.7488,45802910614.77849
1738800239513,96613.00809483857,1915206132511.6934,48424844834.31546
1738803825864,96839.96420150516,1919516834018.9648,45613416274.847786
1738807441898,97130.53973144067,1924425074224.7393,45530559556.22462
1738810824898,97355.35589817187,1929947724905.9907,43971271852.17172
1738814651043,97355.40414806851,1929242613811.154,34063809752.540348
1738818220870,97643.75264902429,1936139293689.744,45670471904.97418
1738822108951,97775.60672474427,1939221215693.2317,42812331107.02168
1738825451555,98402.46047835614,1950744640854.8384,45308164953.25447
1738828808101,98232.29586759426,1943644996871.1702,44552543426.437
1738832912486,98211.45992465959,1946003039402.1946,41983974258.19127
1738836235136,98692.44773552474,1957025538344.1013,44274855881.157104
1738839842195,98975.0605619712,1960398063820.3357,42446703675.78118
1738843317109,98901.87439582883,1961497043151.0955,43974370982.34012
1738846912501,98359.249482822,1949684988011.0737,39742340087.030495
1738850911052,98548.2185810839,1956232334213.452,44941632922.58047
1738854069316,97920.76851950152,1945628686309.786,45815980073.34397
1738857767492,97232.86007013674,1924831802527.8474,45213714515.312355
1738861423384,96581.82206855995,1915265105765.2388,45367143288.728516
1738865040401,96720.71725520355,1918318144688.986,47544544863.592285
1738868576212,96340.12998876366,1909931116226.7698,47453778874.68803
1738872241843,95967.15004023662,1904561170506.8054,48238348711.00766
1738875836060,96900.66888552891,1920608338946.8264,43866385347.56357
1738879272092,96784.5850446752,1918649664878.3948,45419083111.48007
1738883049795,96928.85157608312,1920145791854.1646,47746489916.790535
1738886631765,96567.63486519158,1914854237778.9666,40634556219.60184
1738890508742,96656.38389228036,1915352830897.6958,46211007582.07942
1738893850825,97463.82094798237,1934888687588.816,40953763202.94942
1738897441886,97585.5765251919,1932853005680.9236,34793975159.46879
1738901038031,97442.04681675724,1931208403866.0127,44873710195.24256
1738904621061,97459.12539682529,1933156098799.6096,45943522426.98768
1738908097655,97354.27325739387,1929631037559.488,47224888036.506836
1738911626442,96876.89154634211,1919785723118.7559,43132988547.965546
1738915431391,96765.55824275386,1917965092506.525,45897471768.220375
1738919049234,97129.2131679456,1923456429485.7163,48187051335.53498
1738922630207,97337.03098963221,1929118873287.0195,46094063217.365425
1738926214511,97316.41651615771,1928829657139.63,45266780016.46561
1738929656631,97760.09397417755,1936685585120.0764,45519001806.337395
1738933435385,98006.31102408515,1940941030558.076,44400319162.1062
1738936986155,98873.42490634344,1957119331911.7642,44613012888.34079
